patch_index,image_id,patch_name,y,x,H,W,patch_size,stride,clahe_clip,clahe_grid,dog_sigma1,dog_sigma2
102,12,12_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
103,12,12_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
104,12,12_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
105,12,12_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
106,12,12_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
107,12,12_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
108,12,12_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
109,13,13_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
110,13,13_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
111,13,13_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
112,13,13_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
113,13,13_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
114,13,13_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
115,13,13_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
116,13,13_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
117,13,13_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
118,14,14_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
119,14,14_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
120,14,14_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
121,14,14_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
122,14,14_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
123,14,14_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
124,14,14_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
125,14,14_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
126,14,14_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
127,15,15_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
128,15,15_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
129,15,15_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
130,15,15_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
131,15,15_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
132,15,15_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
133,15,15_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
134,15,15_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
135,15,15_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
136,16,16_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
137,16,16_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
138,16,16_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
139,16,16_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
140,16,16_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
141,16,16_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
142,16,16_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
143,16,16_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
144,16,16_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
145,17,17_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
146,17,17_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
147,17,17_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
148,17,17_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
149,17,17_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
150,17,17_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
151,17,17_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
152,17,17_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
153,17,17_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
154,18,18_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
155,18,18_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
156,18,18_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
157,18,18_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
158,18,18_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
159,18,18_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
160,18,18_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
161,18,18_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
162,18,18_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
163,19,19_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
164,19,19_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
165,19,19_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
166,19,19_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
167,19,19_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
168,19,19_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
169,19,19_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
170,19,19_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
171,19,19_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
172,20,20_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
173,20,20_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
174,20,20_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
175,20,20_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
176,20,20_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
177,20,20_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
178,20,20_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
179,20,20_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
180,20,20_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
181,21,21_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
182,21,21_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
183,21,21_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
184,21,21_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
185,21,21_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
186,21,21_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
187,21,21_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
188,21,21_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
189,21,21_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
190,22,22_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
191,22,22_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
192,22,22_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
193,22,22_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
194,22,22_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
195,22,22_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
196,22,22_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
197,22,22_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
198,22,22_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
199,23,23_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
200,23,23_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
201,23,23_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
202,23,23_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
203,23,23_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
204,23,23_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
205,23,23_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
206,23,23_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
207,23,23_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
208,24,24_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
209,24,24_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
210,24,24_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
211,24,24_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
212,24,24_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
213,24,24_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
214,24,24_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
215,24,24_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
216,24,24_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
217,25,25_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
218,25,25_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
219,25,25_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
220,25,25_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
221,25,25_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
222,25,25_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
223,25,25_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
224,25,25_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
225,25,25_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
226,26,26_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
227,26,26_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
228,26,26_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
229,26,26_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
230,26,26_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
231,26,26_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
232,26,26_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
233,26,26_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
234,26,26_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
235,27,27_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
236,27,27_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
237,27,27_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
238,27,27_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
239,27,27_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
240,27,27_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
241,27,27_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
242,27,27_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
243,27,27_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
244,28,28_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
245,28,28_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
246,28,28_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
247,28,28_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
248,28,28_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
249,28,28_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
250,28,28_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
251,28,28_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
252,28,28_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
253,29,29_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
254,29,29_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
255,29,29_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
256,29,29_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
257,29,29_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
258,29,29_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
259,29,29_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
260,29,29_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
261,29,29_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
262,30,30_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
263,30,30_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
264,30,30_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
265,30,30_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
266,30,30_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
267,30,30_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
268,30,30_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
269,30,30_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
270,30,30_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
271,31,31_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
272,31,31_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
273,31,31_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
274,31,31_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
275,31,31_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
276,31,31_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
277,31,31_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
278,31,31_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
279,31,31_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
280,32,32_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
281,32,32_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
282,32,32_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
283,32,32_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
284,32,32_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
285,32,32_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
286,32,32_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
287,32,32_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
288,32,32_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
289,33,33_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
290,33,33_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
291,33,33_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
292,33,33_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
293,33,33_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
294,33,33_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
295,33,33_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
296,33,33_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
297,33,33_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
298,34,34_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
299,34,34_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
300,34,34_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
301,34,34_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
302,34,34_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
303,34,34_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
304,34,34_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
305,34,34_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
306,34,34_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
307,35,35_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
308,35,35_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
309,35,35_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
310,35,35_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
311,35,35_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
312,35,35_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
313,35,35_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
314,35,35_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
315,35,35_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
316,36,36_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
317,36,36_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
318,36,36_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
319,36,36_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
320,36,36_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
321,36,36_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
322,36,36_y320_x0.png,320,0,832,832,512,256,2.0,8x8,2.0,3.2
323,36,36_y320_x256.png,320,256,832,832,512,256,2.0,8x8,2.0,3.2
324,36,36_y320_x320.png,320,320,832,832,512,256,2.0,8x8,2.0,3.2
325,37,37_y0_x0.png,0,0,832,832,512,256,2.0,8x8,2.0,3.2
326,37,37_y0_x256.png,0,256,832,832,512,256,2.0,8x8,2.0,3.2
327,37,37_y0_x320.png,0,320,832,832,512,256,2.0,8x8,2.0,3.2
328,37,37_y256_x0.png,256,0,832,832,512,256,2.0,8x8,2.0,3.2
329,37,37_y256_x256.png,256,256,832,832,512,256,2.0,8x8,2.0,3.2
330,37,37_y256_x320.png,256,320,832,832,512,256,2.0,8x8,2.0,3.2
